#ORF    R1.Ratio    R2.Ratio    R3.Ratio    R4.Ratio    R5.Ratio    R6.Ratio    R7.Ratio
YAL054C	.63	.88	1	.88	.81	2.78	12.5
YAL003W	1.18	1	.97	.64	.52	.34	.2
YAL012W	1.08	.99	1.47	.67	.6	.42	.17
YAL038W	1.06	1.14	1.22	.78	.76	.4	.2
YBL015W	.93	1.04	1.01	1.08	1.23	6.67	10
YBL027W	1.03	1.01	1.32	.89	.83	.46	.18
YBL043W	.7	1.05	1	.86	.69	3.85	5
YBL045C	1.05	1	1.61	1.43	1.11	3.23	5.56
YBL048W	.84	1.08	.9	.85	.78	5.88	4.55
YBL049W	.67	1.12	1.14	.9	.56	5.56	6.25
YBL064C	1.3	1.03	1.67	1.85	1.69	11.11	7.14
YBL078C	.76	.89	1.1	1.18	1.25	5	4.35
YBL100C	1.1	1.16	1.33	1.49	1.85	2.44	5.26
YBL108W	1.03	1.06	1.32	1.16	1.96	1.85	5.26
YBR032W	1	1.11	1.32	1.1	.96	.47	.19
YBR048W	1.09	1.15	1.05	.75	.5	.35	.18
YBR051W	.9	1.15	1	.76	.52	1.25	6.25
YBR072W	.99	1.32	1.28	2	2.7	11.11	7.14
YBR116C	.89	1.14	1.03	.85	.75	3.45	5.26
YBR117C	1.28	1.56	1.61	1.03	.83	3.13	5.56
YBR139W	1.09	1.43	1.35	2.13	1.85	4	5.26
YBR147W	.93	1.27	.98	1.05	1.19	8.33	5.56
YBR181C	1.14	1.16	1.15	1.06	1.09	.33	.17
YBR183W	.78	.76	1.32	2.08	1.82	5.88	2.7
YBR189W	.98	.81	1.02	.83	.68	.25	.16
YBR191W	1.05	.84	1.04	.85	.68	.3	.16
YBR238C	1.11	1.92	1.3	.58	.51	.35	.2
YBR241C	.51	1.04	1.33	1.14	.88	5.56	2.94
YBR247C	.98	.86	.95	.44	.49	.43	.15
YBR249C	1.11	1.03	1.1	.74	.66	.25	.19
YCL025C	1	.98	1.35	1.03	1.56	1.59	5.56
YCL035C	1.02	1.25	1.45	1.59	1.2	5.88	2.86
YCR010C	.71	.78	1.18	.78	.75	1.45	6.25
YCR021c	.58	1.01	3.7	2.94	1.82	12.5	10
YDL083C	1.08	.82	.88	.64	.57	.44	.19
YDL085w	.93	2	1.04	.92	.83	4.17	7.14
YDL136w	.95	.99	.97	.78	.86	.34	.17
YDL199c	.97	1.41	1.33	1.14	.79	3.33	5
YDL204w	.78	1.89	.7	1.2	1.06	16.67	8.33
YDL208W	1.03	.9	1.03	.67	.71	.23	.16
YDR025W	1.1	.93	.88	.58	.59	.55	.2
YDR031w	.82	.94	1.14	1.1	1.45	5	2.38
YDR060w	.97	.93	.99	.57	.56	.21	.19
YDR064W	.96	.92	.95	.68	.68	.23	.19
YDR070c	1.01	1.05	1.04	1.01	1.19	5.26	3.23
YDR144C	1.1	.97	.81	.55	.45	.19	.15
YDR171W	1.05	1.1	1.35	1.79	1.92	12.5	10
YDR178W	.88	.98	1.52	1.85	1.79	5.88	6.25
YDR258C	.84	1.1	.85	1.82	1.54	5.88	5.26
YDR272W	.98	.93	1.28	1.35	1.3	5.88	2.38
YDR342C	1.14	1.35	1.92	2.86	3.13	5	3.03
YDR343C	1.11	1.69	2.44	3.85	2.86	4.55	6.25
YDR382W	1.08	1.11	1.08	1.04	1.03	.66	.19
YDR398W	.99	.94	.92	.49	.46	.25	.14
YDR417C	1.25	1.09	1.06	.79	.84	.32	.17
YDR418W	1.15	1.12	1.22	.87	.87	.3	.13
YDR516C	.91	1.2	1.33	1.72	1.64	5	2.04
YDR529C	1.12	1.02	1.3	1.82	1.75	4.55	5.88
YDR533C	.95	1.04	1.49	1.33	1.01	6.67	5.26
YEL011w	.82	1.09	1.41	1.79	1.41	6.25	7.14
YEL012w	.94	.81	1.05	1.05	.78	2.5	5
YEL024w	1.06	1.2	1.47	1.85	1.92	3.85	5
YEL054c	1.15	1.06	1.25	.8	.72	.32	.18
YER024w	.83	.9	1.12	.78	.71	2.17	9.09
YER053c	.88	1.28	2.04	2.86	3.13	4.55	6.25
YER065c	1.09	1.12	1.45	1.06	.9	1.45	12.5
YER067w	.95	1.11	1.69	2.04	1.3	9.09	5.88
YER131w	1.28	1.1	1.39	1.03	.99	.39	.18
YER150w	.99	1.14	2.22	2.86	3.03	11.11	10
YFL014W	.9	1.3	1.54	3.03	4.76	12.5	11.11
YFL054C	.63	.78	.91	.83	.88	5.56	1.96
YFR015C	.85	1.03	1.33	2.94	2.04	6.67	6.67
YFR033C	1.04	.93	1.02	1.25	1.54	5.26	3.7
YFR053C	1.14	1.25	1.32	2	2.78	5.88	1.3
YGL031C	1.02	1	1.03	.91	1	.63	.2
YGL037C	1.15	1.3	1.22	2.22	2.78	7.14	3.57
YGL076C	1.05	.75	.98	.58	.56	.31	.14
YGL078C	.99	.84	1.25	.56	.56	.36	.18
YGL102C	1.02	.93	1.12	1	.98	.38	.17
YGL191W	1.03	.95	1.02	1.02	1.85	5.56	5
YGL259W	.91	.95	1.39	1.56	1.3	3.23	7.14
YGR008C	.96	1.03	1.41	2.17	2.08	6.67	4.17
YGR043C	.74	.6	.96	.93	.89	11.11	6.25
YGR067C	1.03	.93	1.12	.79	.77	1.52	5.26
YGR088W	1.11	1.04	1.16	1.67	1.96	12.5	7.69
YGR103W	1.11	.96	1.25	.53	.47	.32	.17
YGR148C	1.15	1.08	1.04	.82	.83	.28	.16
YGR160W	1.25	1.08	.84	.36	.36	.18	.11
YGR214W	1.2	1.11	1.37	.78	.82	.31	.18
YGR236C	.92	.88	.81	.71	.64	11.11	7.14
YGR243W	.79	.83	.77	.87	.75	9.09	5.56
YGR244C	1.03	1.2	1.69	1.92	2.78	5.26	4.17
YGR248W	.81	.76	1.35	1.59	2.63	16.67	5.56
YGR264C	1.33	1.35	1	.61	.57	.17	.24
YHL015W	1.12	1.25	1.08	.94	.88	.29	.14
YHL021C	.74	1.09	1.56	2	1.72	7.69	5.56
YHL033C	1.27	1.16	1.14	.88	.7	.34	.18
YHR051W	1.15	1.02	1.15	1.33	1.69	4.55	5.56
YHR087W	.75	.75	.93	1.08	1.85	7.69	1.96
YHR089C	.87	.79	.91	.61	.72	.22	.16
YHR096C	.92	.97	1.59	1.25	.8	2.7	8.33
YHR104W	1.22	1.2	1.47	1.56	1.49	5.26	2.38
YHR128W	1.18	1.05	1.18	.61	.63	.27	.2
YIL018W	1.23	1.06	1.2	.86	.88	.39	.2
YIL053W	1.2	.99	.85	.52	.42	.2	.13
YIL069C	.96	.71	.75	.64	.61	.26	.18
YIL111W	.94	1.1	1.59	2.13	2.78	7.69	2.13
YIL113W	.79	.78	.81	1.03	.94	5.26	2.44
YIL125W	1.18	1.47	1.3	1.09	1.41	2.7	7.69
YIL136W	.51	.83	1.16	.84	2.5	11.11	3.45
YIL162W	1.04	1.3	1.72	1.3	1.03	6.67	2.56
YJL045W	.79	.88	1.33	.94	.71	2	5
YJL089W	.65	.79	.85	.88	.84	2.17	8.33
YJL109C	.94	1.02	.93	.44	.47	.11	.25
YJL136C	1.14	.94	1.27	.95	.72	.36	.19
YJL148W	1.06	.87	1.12	.59	.63	.41	.19
YJL177W	1.27	1.1	1.1	.75	.65	.26	.19
YJL190C	1.09	.88	1.27	1.06	.94	.36	.2
YJR095W	.65	.72	2.13	.92	.88	2.56	12.5
YJR096W	.75	1.16	1.15	1.27	1.92	7.14	2.7
YJR123W	1.08	1.06	1.12	.77	.75	.28	.18
YJR145C	1.05	1.04	.84	.68	.75	.34	.16
YKL009W	.9	.74	.93	.58	.47	.24	.17
YKL026C	.88	.9	1.02	1.2	1.45	12.5	6.67
YKL081W	1.05	.9	.99	.53	.61	.22	.18
YKL085W	1.03	1.01	1.22	1.89	2.56	7.14	5.88
YKL103C	.95	1.3	1.39	1.85	2.5	5.26	3.23
YKL109W	1.18	1.49	2.04	1.59	1.54	5.88	9.09
YKL141W	1.28	1.12	1.56	1.72	2.22	3.85	6.25
YKL142W	.95	1.16	1.18	1.41	2.04	5.56	2.22
YKL151C	.92	1.18	1.49	1.54	1.19	5.88	3.45
YKL187C	1.03	1.05	1.15	.89	.76	4.35	10
YKL193C	.96	.92	.83	1.14	1.43	5.56	2.7
YKL217W	.71	.95	1.03	.79	1.09	11.11	14.29
YKR059W	1.16	1.05	1.39	.83	.7	.37	.2
YKR097W	.92	.88	1.35	.94	.84	1.33	14.29
YLL026w	1.01	1.01	.88	1.79	2	5.26	6.25
YLL041c	.96	.93	1.41	2.08	2.7	5.88	6.25
YLL044W	1.22	1.01	.89	.74	.61	.23	.17
YLL045c	1.14	.88	.94	.93	.93	.26	.12
YLR048w	1.25	1.18	1.37	.93	.79	.26	.17
YLR062C	1.14	.96	1.04	.78	.93	.27	.14
YLR076C	1.16	.97	1.06	1.05	.81	.35	.2
YLR129w	.79	.77	.82	.54	.55	.14	.23
YLR142w	.88	.72	.7	.83	.87	1.43	5.26
YLR149C	.83	.92	.88	1.52	1.22	5.56	6.67
YLR174W	.93	.82	1.64	1.09	.91	2.44	10
YLR175W	1.25	1.39	1.69	.8	.75	.4	.2
YLR178C	.85	.86	.96	1.69	2.38	6.25	3.45
YLR180W	1.14	1.2	1.16	.53	.48	.17	.12
YLR186W	1.05	.97	.81	.5	.62	.38	.19
YLR196W	1.19	1.06	1.2	.55	.53	.34	.15
YLR198C	1.23	1.01	1.37	.9	.85	.39	.18
YLR249W	1.04	1.02	1.09	.59	.96	.36	.15
YLR258W	1.08	1.35	1.37	3.7	4	10	5.88
YLR267W	.92	1.09	1.2	.93	.71	3.13	6.67
YLR270W	1.08	.98	1.16	1.54	1.3	8.33	2.86
YLR304C	1.15	1.47	1.41	2.04	2.33	3.85	6.25
YLR312C	.65	.63	1	1.14	.83	2.38	5
YLR325C	1.03	1.01	1.09	1.02	.81	.34	.17
YLR327C	.88	.79	1.06	1.89	2.13	10	6.25
YLR339C	1.25	1.39	1.23	.86	.63	.29	.17
YLR340W	1.15	1.25	1.39	.94	.74	.29	.15
YLR344W	.94	.88	.78	.61	.7	.34	.19
YLR355C	1.28	1.04	.73	.42	.43	.19	.23
YLR356W	.93	1.52	1.45	1.82	1.75	7.14	3.7
YLR377C	.85	.98	1.19	.89	.92	1.39	14.29
YLR413W	1.16	1.28	1.45	.64	.63	.19	.14
YLR448W	1.27	1.02	.86	.65	.61	.27	.2
YLR449W	.97	.98	1.1	.44	.51	.16	.22
YML054C	.67	.93	1.35	.93	.97	5	7.69
YML063W	1.16	1.16	1.32	1.01	.98	.33	.18
YML123C	1.41	1.41	1.45	.68	.63	.2	.31
YML128C	.92	1.15	1.96	2.94	2.56	20	11.11
YMR090W	.88	1.06	1.49	1.25	1.96	5	2.04
YMR093W	1.05	1	.73	.41	.4	.28	.18
YMR105C	1.1	1.45	1.64	3.33	2.78	9.09	6.25
YMR107W	.75	.83	.87	.81	.93	5	5
YMR121C	1.27	.97	1.27	1.25	.93	.39	.18
YMR131C	1.16	1.08	1.25	.75	.56	.4	.17
YMR170C	1.14	1.18	1.15	1.35	1.64	12.5	4.76
YMR191W	.99	1.11	1.52	1.43	1.3	3.57	5
YMR217W	1.11	1.09	1.14	.47	.41	.32	.15
YMR250W	.94	1.39	2.04	3.45	4.35	8.33	9.09
YMR290C	1.09	.85	.85	.45	.38	.16	.13
YNL002C	.93	.78	.84	.44	.55	.14	.19
YNL015W	.95	.8	1.43	1.75	1.89	8.33	4.76
YNL052W	.85	.85	.93	1.06	1.56	3.45	5
YNL065W	1	1.22	.86	.5	.86	.22	.19
YNL067W	1.03	.78	.91	.76	.85	.61	.19
YNL069C	.93	.97	1.23	.87	.94	.47	.15
YNL096C	1.09	.98	.8	.71	.76	.22	.14
YNL117W	.81	.97	1.64	.81	.83	1.69	9.09
YNL119W	1.1	.98	1.23	.86	.87	.45	.14
YNL134C	1.1	1.06	1.05	1.08	1.2	5	4.17
YNL141W	.89	.97	.95	.42	.44	.14	.11
YNL160W	1.18	1.27	2.17	2.78	3.33	8.33	7.14
YNL173C	.95	.84	1.08	1.82	1.72	6.25	3.23
YNL174W	1.04	.86	1.01	.51	.54	.19	.44
YNL175C	1.15	.88	1.09	.64	.53	.31	.16
YNL194C	.82	1.02	1.1	.89	1.23	14.29	10
YNL195C	.8	.85	.93	.9	1.02	1.69	5
YNL200C	.85	.98	1.28	2.38	2.86	14.29	5.88
YNL274C	1.01	1.04	1.28	1.56	1.41	6.67	3.23
YNL301C	1.16	.92	1.19	.81	.68	.27	.18
YNL303W	.76	.6	.79	.65	.46	.17	.18
YNL305C	.92	1.08	1.41	1.1	1.85	5.26	2.17
YNR001C	1.14	1.37	1.56	1.64	2.33	6.25	9.09
YNR053C	1.15	1.33	1.22	.71	.66	.3	.19
YOL120C	1.2	.94	1.32	.89	.66	.29	.19
YOL032W	.95	.98	1.22	1.14	1.06	5.88	3.23
YOL039W	1.05	.98	1.08	1	1	.89	.2
YOL040C	1.08	1.04	.91	.75	.68	.35	.16
YOL053C	.93	.89	1.06	1.85	1.89	5.88	3.45
YOL084W	.81	1.09	1.35	1	.95	2.5	6.25
YOR065W	1.12	1.08	1.25	1.22	1.92	3.23	5.26
YOR178C	.88	.95	1.39	1.2	1.1	5	4.17
YOR215C	1.05	1	1.3	1.72	1.92	11.11	7.14
YOR234C	1.05	1.05	.92	.78	.71	.31	.2
YOR309C	1.15	1.02	1.18	.64	.77	.23	.13
YOR310C	1.11	.99	1.27	.66	.64	.28	.12
YOR312C	1.18	.99	1.19	.75	.73	.35	.17
YOR374W	1	1.41	1.27	2	2.5	5.56	5.56
YPL012W	1.06	.83	.9	.44	.33	.13	.12
YPL131W	1.04	1.06	1.11	.56	.85	.32	.17
YPL220W	1.03	.99	1.32	.78	.97	.33	.15
YPL226W	1.03	1.05	.93	.56	.44	.27	.18
YPR137W	1.05	.88	.87	.54	.53	.31	.13
YPR149W	1.11	1.09	1.32	1.75	1.89	4.17	5
